DistrictCode,StateName,DistrictName,Population,Male,Female,Literate,LiterateMale,LiterateFemale,Worker,WorkerMale,WorkerFemale,MainWorker,MarginWorker,NonWorker,CultivatorWorker,AgriculturalWorker,HouseholdWorker,OtherWorkers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,OthersReligion,ReligionNotStated,LPGoPNGHousehold,HousholdsWithElectricLighting,HouseholdsWithInternet,HouseholdsWithComputer,Household,RuralHousehold,UrbanHousehold,BelowPrimaryEducation,PrimaryEducation,MiddleEducation,SecondaryEducation,HigherEducation,GraduateEducation,OtherEducation,Literate,Illiterate,AgeGroup0_29,AgeGroup30_49,AgeGroup_50,AgeNotStated,HouseholdWithBicycle,HouseholdWith4Wheeler,HouseholdWith2Wheeler,OwnedHousehold,RentedHousehold
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,654290,406805,618605,534939,83666,463415,155190,1412402,216476,224192,22782,155155,1449007,489686,3510,84787,360,138,45,3474,47723,83006,2870,18097,461390,371752,89638,294135,281158,240057,117838,77602,66129,9713,1086632,977839,1320476,449673,256276,4582,242225,7560,55738,349881,7346
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,915142,575788,892214,783313,108901,699503,192711,2114324,344973,275192,31141,240908,2412595,527581,4630,51090,2312,301,84,7945,91958,115163,3889,27533,655003,520289,134714,451571,476064,315873,158430,96308,87355,8885,1594486,1324615,1961237,652237,368743,24321,333199,9927,73581,497520,14789
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1237157,796887,1264718,1058483,206235,958249,306469,2756525,529223,422142,47837,265516,3078262,807600,7502,94388,18454,487,226,14324,86948,122761,3402,29252,862610,754938,107672,717340,621684,442748,223669,129627,128548,10846,2274462,1833578,2582597,896611,510832,31203,486903,11395,94806,690558,11998
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,1422602,1171252,251350,1023642,398960,3061390,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,12475,74072,102040,3874,34609,938902,827583,111319,714304,656401,482220,221898,136383,127750,8775,2347731,2141696,2862383,1000987,588318,32304,575384,11679,88916,776437,11939
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,969871,349075,2773899,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,98,9770,60689,95508,3845,32065,907677,786613,121064,741817,906861,510507,247265,138583,103523,9048,2657604,1481604,2598364,905306,559988,29187,494925,12396,82094,697057,7613
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,761831,362913,1983623,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,31,6929,70484,99466,3476,28719,717356,596317,121039,501457,512965,415378,240024,136688,101934,7173,1915619,1130103,1893706,706851,453462,54348,417537,10191,79130,548851,14029
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,1152285,390521,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,13249,469747,582769,68506,152257,1061721,344155,717566,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,2678289,1161686,685258,64605,539667,90205,337254,688062,107236
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,644869,559841,2200849,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,602,8539,65080,247856,5184,34788,778418,705025,73393,540661,538301,477689,270775,182823,153041,15662,2178952,1286726,2116007,776583,506583,6386,509053,13483,94437,597191,12244
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,474686,117581,1292937,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,100,2035,59209,88081,2624,18733,411490,316647,94843,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1224584,411153,246795,2672,204261,6765,49592,294748,9374
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,419027,105649,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,2390,32510,61491,2488,18082,365770,299785,65985,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1069916,361028,223535,2137,178143,6011,37935,268151,6646
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,361588,144484,1075738,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,94,1806,47520,113098,2964,21506,351126,265643,85483,171216,292852,298700,195192,121283,118571,13400,1211214,397708,979633,362026,237786,2365,194564,7736,47713,261034,10690
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,442023,364543,77480,325721,116302,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,1657,32687,65479,2404,14279,314274,255836,58438,133123,291837,282449,168866,101542,79012,6531,1063360,276224,856336,320763,202054,392,179939,5088,35729,240103,6104
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,448651,180213,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,4034,23831,49753,2682,25354,405256,363933,41323,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1100820,415918,276272,3174,220794,12752,40159,320512,6125
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,1229166,343066,3009036,198547,258790,68738,1046157,3792174,720660,15751,29676,2733,5710,589,13975,421694,517271,33966,93296,1049775,364869,684906,338620,766906,794860,651228,515772,396565,26827,3490778,676306,2630411,1209554,731795,9508,518736,51177,249207,630882,163785
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,420266,200498,1069210,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,145,3798,42616,104176,2217,18615,396421,304856,91565,169207,327534,282919,167911,104699,106888,10399,1169557,461666,1002817,410090,274954,2113,162840,7009,58169,276057,9057
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,560041,254873,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,5988,94342,183340,8517,40774,504913,309592,195321,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1171301,510728,308331,8243,194290,18860,94539,326556,25466
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,503351,326783,176568,357033,146318,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,1179,20720,77082,1079,9906,301832,258013,43819,185575,202692,154118,61543,32237,34658,3535,674358,509536,793551,265080,159666,3295,118185,5511,36718,209129,6708
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,443655,308527,135128,290375,153280,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,311381,256081,55300,159593,238344,211029,103334,59914,59612,4094,835920,364848,660774,260368,181109,2034,99240,3791,24522,202503,4809
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,349676,237153,112523,238712,110964,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,157,1523,12874,42936,1316,11298,246823,198298,48525,119002,141201,131165,60400,33810,37165,3926,526669,403649,527067,201394,137393,10104,85723,5755,21276,157367,4536
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,483232,218457,1097721,251755,273458,19098,157378,1637549,157612,1367,231,168,916,50,1517,26907,73522,1655,18612,445625,378056,67569,325773,415195,249238,114783,61702,63112,5728,1235531,588025,1120432,408527,265310,5141,183817,5202,32236,312553,6773
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,394197,254977,139220,282614,111583,597533,160094,150695,12555,70853,955372,34559,693,63,101,285,27,630,11637,41046,827,9437,230795,207237,23558,168472,174106,124256,69641,40266,35826,3660,616227,383908,638046,214228,136669,2787,105264,2805,17911,162755,3009
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,670156,393773,1568804,328758,425366,51555,258250,2274674,350700,2201,402,172,199,47,4338,43492,75263,3385,33501,636540,558807,77733,409875,463642,376472,227119,134445,116445,10212,1738210,895178,1624830,603831,395547,8525,331499,16758,59754,460648,8349
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,553013,513588,2142540,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,11441,46358,140538,5149,34400,752786,711085,41701,427626,558350,456752,332742,238011,197846,20047,2231374,1059636,2002569,703727,492097,10748,447696,15781,104506,523892,6378
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,639086,402644,236442,415312,223774,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,2810,22034,43753,1503,15029,380620,349856,30764,184229,253910,180825,146757,89011,45341,5115,905188,670750,1034099,336401,210556,18540,210669,4403,35502,271140,3175
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,1286732,825175,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,30492,204357,391542,24122,85491,1248570,983266,265304,823863,934881,738076,596615,502826,428871,36764,4061896,1756098,3764404,1335224,818137,36626,701941,41965,243219,853641,34772
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,834294,358556,2067849,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,211,6422,60554,108116,3159,26293,714908,635840,79068,533140,420824,350564,197780,132332,113799,12281,1760720,1540841,2043335,709494,445269,62601,446335,11935,91664,554258,8736
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,496579,334630,1639787,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,185,4502,58328,127754,4746,28625,589666,510378,79288,356093,361114,347114,231129,176303,179996,18947,1670696,981915,1534832,543148,367332,25684,346448,15426,74081,403711,10253
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,440998,346400,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,5066,21512,99581,2509,27308,566590,501559,65031,342667,392873,353570,247028,172872,194387,15458,1718855,813502,1499494,515229,367234,15931,311614,9813,60203,357876,4387
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,690967,551665,2554485,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,10433,55055,233701,5956,44008,889628,839737,49891,460210,637015,526973,306046,188848,176414,15277,2310783,1118891,2376875,828222,580164,11856,526011,18382,104307,612902,9494
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,743452,408708,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,7889,38940,85814,2681,35463,760262,698520,61742,447648,493760,215939,104762,65106,47690,7028,1381933,1920966,2275746,754346,446242,11397,397685,13451,51784,582513,7619
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,403755,293981,109774,232762,170993,713606,163449,165118,18494,56694,768643,343981,1427,407,323,68,56,2456,4828,20419,624,10074,257274,248770,8504,155698,97160,56242,29567,19744,15648,1535,375594,701550,723443,245098,143979,4841,134274,2286,16069,183581,1547
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,458727,301526,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,3169,16229,57400,1551,15510,445838,410070,35768,379253,227932,122911,65516,40633,37109,2777,876131,1332817,1415213,442339,283947,7166,232350,6167,37816,314737,4279
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,739663,430889,2263367,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,57,8556,45517,104084,4313,31811,726372,673578,52794,678171,425584,305644,192664,144067,118176,8722,1873028,1620782,2223078,734903,464584,11354,417980,13053,75067,521253,9886
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,447943,430955,1680399,298360,395993,35756,148789,1789704,748073,3042,681,11964,179,356,5298,25883,93088,2434,24662,513513,480165,33348,676987,335977,204260,110056,73465,56516,10526,1467787,1217027,1690396,504002,359977,4922,282280,9664,52801,369295,4653
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,443724,339964,1680776,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,99,2626,37593,108101,3423,30244,545025,513960,31065,470355,349221,324085,211477,162961,143642,13030,1674771,1021192,1574037,519265,363891,7271,309655,11477,66316,372178,5089
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,539469,383482,155987,265453,274016,1175714,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,35,3451,17671,79525,2031,19729,352151,324972,27179,341757,290532,205875,129442,86528,63506,8882,1126522,683053,1108368,352395,250502,3918,201340,6778,37986,253488,2887
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,439293,554960,1690450,229847,532486,43015,188905,2196884,458650,3527,1381,16030,243,338,7650,23647,91844,2694,27339,607079,573046,34033,456350,388464,308064,185236,129222,95863,11219,1574418,1252595,1694493,595114,370573,24523,338883,9050,52155,414003,4639
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,746381,605248,3089266,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,207,12711,149727,296619,14597,65360,951128,761958,189170,873031,618398,560246,425913,316166,273903,36253,3103910,1453960,2755630,992114,659677,33474,531565,30258,157765,666811,22177
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,523258,593715,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,4930,29304,127331,3486,35931,785099,742324,42775,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,2236842,772777,500373,54552,432174,12849,70192,549999,5421
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,455382,420864,2224700,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,146,5469,60348,150001,4469,36068,665706,597778,67928,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,1946336,664708,481219,8683,353180,13388,84941,463312,6074
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,784272,587760,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,6005,49699,183381,6652,47324,971458,891024,80434,831966,1344726,879745,489060,312571,158303,8087,4024458,1218146,2930243,965876,699954,17840,521004,20757,116175,647550,7850
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,396438,300309,1509221,145225,212343,118614,220565,1769937,428555,2109,340,564,155,129,4179,40087,149908,2656,26716,451528,352207,99321,344570,410737,320743,256784,209493,150462,15771,1708560,659237,1402738,467343,323260,12627,228921,7411,47576,313109,5380
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,569522,449961,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,14847,62157,119972,4672,42969,629381,564927,64454,436021,515010,443440,409484,323582,200434,20283,2348254,1032533,1975934,724362,502628,36850,324245,10846,65467,472507,5795
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,896547,540828,3056829,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,114,14358,56508,181467,8002,52398,1006670,926088,80582,665376,939616,769693,520111,353996,256398,25909,3531099,1344789,2826453,927026,689979,50746,534790,22876,128471,653913,8271
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,766881,437721,2415666,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,184,9792,36798,105767,5309,50180,761640,700173,61467,566504,691057,563310,449909,334003,186306,12795,2803884,1008996,2234593,774130,556273,55272,383511,21169,78218,514080,5915
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,341927,310616,1300213,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,1175,4649,32433,99602,3492,20762,395759,344937,50822,295979,367768,276638,196240,135962,88299,7586,1368472,543247,1222695,437000,287767,5294,220298,7313,49064,283240,9071
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,920761,299947,2456133,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,7826,202055,336056,19214,57583,755064,438935,316129,467782,608174,557052,447926,351391,281652,34841,2748818,906367,2260457,856070,531549,28765,412569,24216,157861,500257,33976
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,470608,343155,127453,286978,183630,1107605,94402,104419,62665,209122,1368291,203887,1365,199,1562,161,7,2741,23178,83220,2896,16198,339507,293510,45997,257527,291926,232072,167524,120944,86533,10304,1166830,552958,1032294,331743,209920,4256,167822,6910,38919,214339,3628
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,537091,344905,1614974,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,27,4096,43500,145997,4447,24518,543115,465152,77963,361642,421577,340261,232189,177109,140668,17680,1691126,868542,1590528,552177,346773,7492,309079,10205,63155,381372,6470
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,730399,463611,266788,397196,333203,1132160,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,10470,40467,95582,5149,25220,428088,337048,91040,306218,297226,212565,120822,82614,63846,9357,1092648,745126,1203938,418914,237866,1841,203774,10279,50700,288821,19116
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,415476,130508,1228496,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,18,5260,37027,69591,2635,19712,401998,334246,67752,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1149372,383707,237427,3974,189111,6644,54798,280646,6907
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,472765,375213,97552,354257,118508,963954,229088,107094,22492,114091,1211427,213822,1969,2280,3907,313,72,2929,26849,50405,1623,13109,343724,271234,72490,256688,193410,150247,108558,61662,48079,4981,823625,648166,946320,301252,183434,5713,142975,3854,30712,227919,6530
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,797544,681403,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,9602,38414,57546,3495,41143,936134,839514,96620,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,2544205,888205,497793,4839,425249,10911,48435,694531,7910
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,1132789,604750,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,15590,52358,74979,7719,70258,1243825,1142260,101565,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,3316422,1122340,648009,12600,611212,19282,78531,967001,9489
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,216372,166693,49679,137804,78568,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,3505,3983,10004,478,6698,166000,158484,7516,128209,91277,37063,25657,16031,10091,661,308989,348078,421241,139909,93398,1698,73447,1410,7678,147280,830
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,753645,360938,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,7543,39465,66263,3460,42461,856964,807294,49670,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,2206340,739982,449035,28217,317432,7292,38576,720630,6856
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,1074091,562847,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,11534,47090,113281,5319,65548,1088786,1047552,41234,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,2860455,1009424,611899,5601,416574,11636,59254,884913,8410
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,472649,405033,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,5136,12111,51028,1845,25078,600102,572287,27815,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,1453438,495020,277610,3008,192734,4064,21885,430158,5069
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,696410,373483,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,703274,659061,44213,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,1872943,612012,324091,2523,279254,5041,31983,550065,6185
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,529064,421192,107872,384416,144648,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,2201,11715,58718,1093,14073,445150,401793,43357,356401,235779,89025,42778,25989,15386,3761,769119,945397,1139615,361114,188447,1224,177516,2436,19539,326865,4776
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,1143318,803275,340043,776385,366933,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,8502,33688,86058,4170,33664,798596,712847,85749,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,2155512,696556,372692,39859,291919,8390,40178,624039,8720
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,1013566,760522,253044,667602,345964,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,6522,32570,60900,2941,27263,738070,668232,69838,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,2054202,660403,353483,2941,285976,5118,35004,595596,11309
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,777546,496046,281500,443507,334039,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,4387,12302,23236,1397,23309,510278,486278,24000,340813,189431,114474,99437,79891,44955,6509,875510,1202278,1311771,444235,242382,3374,169936,4560,21254,394241,3072
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,649898,456724,193174,363326,286572,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,3121,21651,41342,1668,19415,470697,432651,38046,348300,194897,104182,90182,64560,47051,6016,855188,1151349,1249692,415863,233870,1236,129847,3824,20489,359161,5426
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,731347,492293,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,8232,59510,127442,6280,53205,1002713,907174,95539,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,2535344,865971,529314,6756,320695,10325,52586,785953,10615
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,1547586,1195308,352278,910304,637282,3253476,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,15893,87796,180651,10290,73012,1119394,998694,120700,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,3016735,1079189,697108,8030,548802,23333,94249,911967,22474
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,728201,539586,188615,363111,365090,1833811,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,3631,31193,69375,3707,33596,554058,515925,38133,540603,470828,291624,223776,123249,79109,7690,1736879,977719,1642807,546202,370662,2341,312727,9508,51902,412706,5453
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,932416,730396,202020,462104,470312,2398048,264928,376344,31244,259900,2712635,608282,2618,369,407,359,86,5708,42384,52935,3834,37833,674372,632514,41858,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,2115448,713597,498299,3120,382782,10891,64065,535085,6347
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,1040231,857660,182571,545520,494711,2911631,232097,493461,42103,272570,3534772,406449,2330,371,229,322,107,7282,51822,94787,4509,37442,777622,701323,76299,793945,693465,433759,361171,213251,148065,9848,2653504,1313700,2516115,847031,585386,3330,431759,10948,68604,628222,8764
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,1060344,858648,201696,716006,344338,2434677,255017,502637,36958,265732,3152346,333980,2203,707,362,246,71,5106,47300,70001,4810,39564,750811,699317,51494,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,2176701,759132,486032,73156,397202,11316,60246,620927,6879
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1343400,1037576,305824,907433,435967,2918166,299039,721629,47917,274815,3800598,452370,2126,554,292,231,112,5283,46123,88021,5379,50918,1056465,1012979,43486,781038,710468,438908,284082,186153,129933,19126,2549708,1996651,2766930,913339,568812,12485,458268,10621,56464,829443,10874
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,938182,715345,222837,591811,346371,2032359,146035,430870,58167,303110,2554330,407348,2209,402,229,276,57,5690,49493,120373,4644,43127,733625,594377,139248,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,1951688,644874,369996,3983,295852,9821,41377,577162,10968
223,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,560805,398216,162589,306283,254522,1106081,104517,325731,20816,109741,1486989,175588,1253,143,79,86,115,2633,15401,40641,1580,21654,394703,373696,21007,350601,233494,130004,100555,65931,38697,5969,925251,903323,1114645,355531,195796,914,99898,3120,14047,321312,3292
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,983528,740056,243472,534129,449399,2054238,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,7569,63241,174534,6764,46929,653161,522527,130634,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,1952879,674660,397654,12573,220531,8644,47618,540365,13460
225,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,771080,517817,253263,374097,396983,1263683,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,3664,15459,62359,1704,22300,444096,425604,18492,408188,386707,196305,120653,63103,35767,3922,1214645,879831,1291235,462080,278863,2585,159201,3258,24398,372571,3728
226,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,426658,327453,99205,233402,193256,941107,45953,196449,16690,167566,1252319,110416,1815,338,95,145,61,2576,49141,90461,2653,17946,308063,222281,85782,226699,158699,146414,147152,101907,64469,4394,849734,498676,860147,316713,188319,2586,112707,3755,24259,248457,11182
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,326576,240494,86082,201866,124710,674336,78532,159970,13546,74528,956396,40886,487,140,52,78,52,2821,12938,44491,1186,8862,207645,175882,31763,172076,149312,111684,85807,48001,27261,3814,597955,450967,650642,218840,130655,775,49052,2415,9577,158930,3444
228,BIHAR,Sheikhpura,636342,329743,306599,328676,196431,132245,224655,151569,73086,148002,76653,411687,54511,109696,9917,50531,596102,37653,313,75,41,43,31,2084,6803,20065,631,8873,132638,108293,24345,129673,110525,59529,52860,33856,19676,3399,409518,305609,413475,136898,85045,924,33652,1728,6933,100345,2119
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,1045420,703405,342015,740949,304471,1832233,221240,534021,52585,237574,2669775,198033,1978,393,414,561,64,6435,43761,101378,4156,43848,616663,514141,102522,581978,486266,320839,274556,177358,133032,11159,1985188,1324385,1829128,642197,403129,3199,121583,7955,29239,464186,17540
